count,date,title,description,org_link,link
1,2024-02-15 12:33:00,신범철 &quot;천안 발전에 올인…약속 못 지키면 출마 다시 안 할 것&quot;,"또 종축장 이전과 기업유치, 천안역에 국방<b>AI</b>센터 유치, 동천안IC 인근 산단-동면 빙그레 산단 연계 기업... 신 전 차관은 천안남산초, 천안계광중, 북일고, 충남대 법대·법과대학원을 졸업했고 한국국방연구원 북한<b>군사</b>... ",https://news.tvchosun.com/site/data/html_dir/2024/02/15/2024021590075.html,https://n.news.naver.com/mnews/article/448/0000447913?sid=100
2,2024-02-15 12:26:00,"[특별기고] 2024년 국가 안보, 사이버공격 기반의 복합 안보위협 대비",그 중에서도 공통적으로 손꼽는 핵심 보안 위협은 &quot;생성형 <b>AI</b>의 위협&quot;과 &quot;정치·사회적 이슈와 관련된... 더불어 북한은 <b>군사</b>적 위협을 한층 높이는 가운데 국가 기능을 마비시키거나 사회질서를 혼란시키려는 목적으로... ,https://www.dailysecu.com/news/articleView.html?idxno=153561,https://www.dailysecu.com/news/articleView.html?idxno=153561
3,2024-02-15 11:48:00,北정찰총국 해커집단 '김수키' 챗GPT 썼다…중·러·이란도 활용,"북한·중국·러시아·이란 해커들이 오픈<b>AI</b>의 생성형 인공지능(<b>AI</b>) ‘챗GPT’를 활용해 온 것으로 확인됐다.... 이외에도 러시아 <b>군사</b> 정보 기관과 연계된 해커집단 스트론튬 그룹은 위성 통신 프로토콜, 레이더 이미지... ",https://www.joongang.co.kr/article/25228845,https://n.news.naver.com/mnews/article/025/0003341519?sid=104
4,2024-02-15 11:01:00,北 김수키도 챗GPT 썼다...MS “문제 계정 삭제 조치”,에드워드 아모로소 뉴욕대 교수는 영국 가디언에 “<b>AI</b>와 대규모 언어 모델의 사용이 당장 눈에 띄는 위협이 되지 않을 수 있지만 결국 모든 국가 <b>군사</b>력의 공격에서 가장 강력한 무기 중 하나가 될 것”이라고... ,https://www.chosun.com/economy/tech_it/2024/02/15/PZP5FNMACZF53B5DTG7GPXZV4U/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003816822?sid=105
5,2024-02-15 10:14:00,"북한·러시아·중국·이란, 해킹 공격에 美 '챗GPT' 사용(상보)","북한을 비롯한 러시아, 중국, 이란이 생성형 인공지능(<b>AI</b>) 챗봇 '챗GPT'를 해킹 공격에 사용한 것으로... 러시아의 해킹 조직 '포레스트 블리자드'는 우크라이나를 상대로 한 재래식 <b>군사</b> 작전에 쓸 다양한 위성 및 레이더... ",https://www.news1.kr/articles/5321215,https://n.news.naver.com/mnews/article/421/0007352351?sid=105
6,2024-02-15 10:12:00,미국의 대중(對中) 견제조치 전망과 시사점,"하지만 여전히 미국 일각에서는 현재 대중 견제조치 체계로 중국 <b>군사</b>력 확장과 대만에 대한 위협을... □ 향후 미국의 대중 견제 대상 분야는 바이오테크로 확대 전망 최근 미국의 대중 견제가 <b>AI</b>, 양자컴퓨팅, 첨단반도체... ",http://www.ifs.or.kr/bbs/board.php?bo_table=research&wr_id=10825,http://www.ifs.or.kr/bbs/board.php?bo_table=research&wr_id=10825
7,2024-02-15 09:40:00,"[안보칼럼] ROTC 지원율 급감의 본질, 대책의 현실성과 체감지수는?",특히 &lt;국방혁신 4.0&gt;에서 전력증강 분야는 <b>AI</b>를 비롯한 4차 산업혁명 기술을 적용해야 한다. 첨단 무기체계나 <b>군사</b>용 장비는 단순한 기계가 아닌 복잡하고 정교한 전자제품이기에 이를 다룰 우수인력이 필요하다는... ,http://www.konas.net/article/article.asp?idx=61961,http://www.konas.net/article/article.asp?idx=61961
8,2024-02-15 09:22:00,김수키 부대에 이것도 가세?…전세계서 가장 강력한 무기 될거라는데,<b>AI</b>는 이러한 이메일 생산을 가속화하고 향상하는 데 도움을 줄 수 있다. 러시아의 <b>군사</b>정보 부대인 팬시 베어는 우크라이나 전쟁과 관련이 있는 위성과 레이더 기술을 연구하는 데 이 모델을 사용했다. 에드워드... ,https://www.mk.co.kr/article/10943031,https://n.news.naver.com/mnews/article/009/0005258770?sid=105
9,2024-02-15 08:56:00,"오픈<b>AI</b> &quot;北 해킹조직 김수키, LLM 사용 확인...즉시 차단&quot;","오픈<b>AI</b>는 김수키에 대해 지난 한해 매우 활발하게 활동한 해킹조직이라며, 스피어 피싱 이메일을 사용해 북한에 대한 전문 지식을 갖춘 저명한 개인으로부터 정보를 수집하고 있다고 설명했다. 이 밖에도 러시아 <b>군사</b>... ",https://zdnet.co.kr/view/?no=20240215080048,https://n.news.naver.com/mnews/article/092/0002321329?sid=105
10,2024-02-15 08:34:00,&quot;백신 피하는 코드 작성에 활용&quot;…북·중·러 해커도 '챗GPT' 쓴다,"북한·중국·러시아 정부를 위해 일하는 해커들이 오픈<b>AI</b>의 생성형 인공지능(<b>AI</b>) '챗GPT'를 활용한 것으로... 러시아 <b>군사</b> 정보 기관과 연계된 스트론튬 그룹은 위성 통신 프로토콜, 레이더 이미지 처리 기술 및 특정... ",http://news.mt.co.kr/mtview.php?no=2024021507513517448,https://n.news.naver.com/mnews/article/008/0004998885?sid=104
