count,date,title,description,org_link,link
1,2024-02-15 11:40:00,막 오른 <b>AI</b> 반도체戰에서 이기는 길[포럼],"두 차례의 오일쇼크 이후 미국 반도체 기업들이 움츠러들자, 정부의 지원과 가격경쟁력을 <b>무기</b>로 일본... 챗GPT 출시로 불과 1년여 만에 인공지능(<b>AI</b>) 대중화 시대를 연 오픈<b>AI</b>가 <b>AI</b> 맞춤형 반도체를 직접 제작하겠다고... ",https://www.munhwa.com/news/view.html?no=2024021501073111000001,https://n.news.naver.com/mnews/article/021/0002621401?sid=110
2,2024-02-15 11:30:00,【박란희의 TalkTalk】 2024 첫레터- ESG의 종말?,"2019년 '기후은행'이라고 지칭했던 유럽투자은행(EIB) 또한 <b>무기</b> 산업에 더 많은 프로젝트 자금을... 블랙록은 &quot;인공지능(<b>AI</b>)와 고금리로 인해 기업들이 동요하는 상황에서, 장기적인 재무 수익을 보장하기 위해 이러한... ",http://www.impacton.net/news/articleView.html?idxno=10884,http://www.impacton.net/news/articleView.html?idxno=10884
3,2024-02-15 11:14:00,"철원플라즈마산업기술연구원, 에너지·환경 분야 기술개발 협력 체계 구축","다양한 <b>무기</b>나노 소재와 흑연, 그래핀, CNT 등 탄소나노복합소재를 활용한 에너지, 환경분야 응용기술을... 전해질개발용 <b>AI</b> 시뮬레이터 개발&quot;과 한국연구재단 기본 연구 지원 사업 &quot;충전 잔량의 정밀한 추정이 가능한 폴리... ",https://www.electimes.com/news/articleView.html?idxno=332800,https://www.electimes.com/news/articleView.html?idxno=332800
4,2024-02-15 11:01:00,北 김수키도 챗GPT 썼다...MS “문제 계정 삭제 조치”,에드워드 아모로소 뉴욕대 교수는 영국 가디언에 “<b>AI</b>와 대규모 언어 모델의 사용이 당장 눈에 띄는 위협이 되지 않을 수 있지만 결국 모든 국가 군사력의 공격에서 가장 강력한 <b>무기</b> 중 하나가 될 것”이라고... ,https://www.chosun.com/economy/tech_it/2024/02/15/PZP5FNMACZF53B5DTG7GPXZV4U/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003816822?sid=105
5,2024-02-15 10:46:00,"넷마블, 운영·재미·성공 3마리 토끼 겨냥한 〈아스달연대기〉 4월 출시",복장의 <b>무기</b>와 장비 외형을 내세웠다. 히트작 &lt;블레이드&amp;소울레볼루션&gt; 개발진이 참여해  세계관을 게임만의... <b>AI</b>를 활용해 작업장 같은 어뷰징 요소도 최소화할 계획이다. 모바일로 즐길 수 있는 원격 리모트 기능도... ,https://www.globale.co.kr/news/articleView.html?idxno=28408,https://www.globale.co.kr/news/articleView.html?idxno=28408
6,2024-02-15 10:46:00,美발벗고 나섰지만…中화웨이·ZTE 제재 불참 EU회원국은 17개국,"EU 집행위는 작년 10월 3일 사실상 중국을 겨냥해 반도체·<b>AI</b>·양자컴퓨팅·바이오 등 4대 첨단기술을 <b>무기</b>화할 위험성 평가에 착수했으며, 이를 바탕으로 EU 회원국들이 올해부터 관련 분야의 기술 수출 통제 등... ",https://www.yna.co.kr/view/AKR20240215059900009?input=1195m,https://n.news.naver.com/mnews/article/001/0014506436?sid=105
7,2024-02-15 10:14:00,"북한·러시아·중국·이란, 해킹 공격에 美 '챗GPT' 사용(상보)",통신기업 AT&amp;T 최고보안책임자였던 에드워드 아모로소 뉴욕대 교수는 <b>AI</b>가 당장의 위협은 안 되더라도 &quot;결국 모든 국가와 군에서 가장 강력한 <b>무기</b> 중 하나가 될 것&quot;이라며 대응 필요성을 시사했다.,https://www.news1.kr/articles/5321215,https://n.news.naver.com/mnews/article/421/0007352351?sid=105
8,2024-02-15 10:05:00,방산도 '산업'이다…별도 조직 만들며 산업정책 지원한다,"각국의 국방비가 증가하고 최첨단 <b>무기</b>체계에 대한 국제적 수요가 증가하는 상황에서 방산 수출의 미래는... <b>AI</b>(인공지능), 자율주행, 로봇 등 첨단기술을 개발하고 민간 기술도 접목해 세계 방산시장에서 우위를... ",http://news.mt.co.kr/mtview.php?no=2024021502003165029,https://n.news.naver.com/mnews/article/008/0004998968?sid=101
9,2024-02-15 09:40:00,흔들리는 풍경 하나,<b>AI</b> 시대에 대한 인간의 사회적 두려움?·?위기감 조성하는 실체가 <b>AI</b>의 교활함인지 인간의 어리석음인지... 그의 <b>무기</b>는 상대방 말의 허점을 찾아 파고드는 질문이었다. 거듭되는 질문의 수단 역시 말이었다. 글은... ,https://www.lawtimes.co.kr/opinion/195849,https://www.lawtimes.co.kr/opinion/195849
10,2024-02-15 09:40:00,"[안보칼럼] ROTC 지원율 급감의 본질, 대책의 현실성과 체감지수는?",특히 &lt;국방혁신 4.0&gt;에서 전력증강 분야는 <b>AI</b>를 비롯한 4차 산업혁명 기술을 적용해야 한다. 첨단 <b>무기</b>체계나 군사용 장비는 단순한 기계가 아닌 복잡하고 정교한 전자제품이기에 이를 다룰 우수인력이 필요하다는... ,http://www.konas.net/article/article.asp?idx=61961,http://www.konas.net/article/article.asp?idx=61961
